,Heuristic,DecisionTreeRegressor,RandomForestRegressor,SVR,LinearRegression
Heuristic,,"{'not', 'public', 'problems', 'own', 'pretty', 'next', 'non', 'poor', 'problem', 'que'}","{'put', 'not', 'public', 'pretty', 'next', 'non', 'new', 'poor', 'problem', 'que', 'only', 'over'}","{'possible', 'not', 'often', 'otherwise', 'public', 'pain', 'next', 'non', 'poor'}","{'often', 'pain', 'or', 'pretty', 'non', 'poor'}"
DecisionTreeRegressor,"{'not', 'public', 'problems', 'own', 'pretty', 'next', 'non', 'poor', 'problem', 'que'}",,"{'first', 'calling', 'not', 'public', 'needed', 'ill', 'pretty', 'happened', 'to', 'next', 'law', 'away', 'high', 'move', 'company', 'thinking', 'help', 'currently', 'stay', 'feel', 'back', 'still', 'non', 'girl', 'lot', 'totally', 'problem', 'que', 'mostly', 'daughter', 'son', 'comes', 'lets', 'knows', 'gave', 'medical', 'focus', 'amazing', 'meant', 'lack', 'recently', 'man', 'either', 'bc', 'happen', 'poor', 'understanding', 'multiple', 'wait', 'view', 'sent', 'actual', 'given', 'human', 'general', 'very', 'eye', 'stop', 'huge', 'based', 'text', 'here', 'also', 'true', 'dead', 'truly', 'generally', 'regular', 'hours', 'sleep'}","{'calling', 'not', 'public', 'ill', 'to', 'happened', 'next', 'la', 'respect', 'away', 'high', 'move', 'currently', 'sense', 'comment', 'non', 'fucked', 'lot', 'daughter', 'comes', 'lets', 'living', 'knows', 'gave', 'medical', 'bought', 'amazing', 'meant', 'either', 'bc', 'poor', 'multiple', 'view', 'sent', 'given', 'human', 'general', 'very', 'eye', 'stop', 'truly', 'girl'}","{'calling', 'pretty', 'to', 'la', 'respect', 'away', 'high', 'move', 'currently', 'sense', 'comment', 'non', 'fucked', 'lot', 'daughter', 'comes', 'lets', 'gave', 'bought', 'meant', 'man', 'poor', 'multiple', 'view', 'sent', 'human', 'general', 'very', 'eye', 'stop', 'based', 'along', 'truly', 'girl', 'hours'}"
RandomForestRegressor,"{'put', 'not', 'public', 'pretty', 'next', 'non', 'new', 'poor', 'problem', 'que', 'only', 'over'}","{'first', 'calling', 'not', 'public', 'needed', 'ill', 'pretty', 'happened', 'to', 'next', 'law', 'away', 'high', 'move', 'company', 'thinking', 'help', 'currently', 'stay', 'feel', 'back', 'still', 'non', 'girl', 'lot', 'totally', 'problem', 'que', 'mostly', 'daughter', 'son', 'comes', 'lets', 'knows', 'gave', 'medical', 'focus', 'amazing', 'meant', 'lack', 'recently', 'man', 'either', 'bc', 'happen', 'poor', 'understanding', 'multiple', 'wait', 'view', 'sent', 'actual', 'given', 'human', 'general', 'very', 'eye', 'stop', 'huge', 'based', 'text', 'here', 'also', 'true', 'dead', 'truly', 'generally', 'regular', 'hours', 'sleep'}",,"{'calling', 'sad', 'not', 'should', 'public', 'ill', 'to', 'happened', 'next', 'away', 'high', 'move', 'currently', 'mother', 'fuck', 'non', 'lot', 'daughter', 'anything', 'comes', 'lets', 'health', 'knows', 'gave', 'medical', 'amazing', 'meant', 'reasons', 'either', 'bc', 'giving', 'poor', 'multiple', 'wasnt', 'view', 'sent', 'lose', 'given', 'human', 'general', 'very', 'kind', 'eye', 'stop', 'truly', 'girl', 'fat'}","{'calling', 'sad', 'should', 'pretty', 'to', 'away', 'high', 'move', 'currently', 'mother', 'fuck', 'non', 'lot', 'daughter', 'anything', 'comes', 'lets', 'health', 'gave', 'meant', 'reasons', 'man', 'poor', 'multiple', 'wasnt', 'view', 'sent', 'lose', 'human', 'general', 'very', 'eye', 'stop', 'an', 'based', 'truly', 'girl', 'fat', 'hours'}"
SVR,"{'possible', 'not', 'often', 'otherwise', 'public', 'pain', 'next', 'non', 'poor'}","{'calling', 'not', 'public', 'ill', 'to', 'happened', 'next', 'la', 'respect', 'away', 'high', 'move', 'currently', 'sense', 'comment', 'non', 'fucked', 'lot', 'daughter', 'comes', 'lets', 'living', 'knows', 'gave', 'medical', 'bought', 'amazing', 'meant', 'either', 'bc', 'poor', 'multiple', 'view', 'sent', 'given', 'human', 'general', 'very', 'eye', 'stop', 'truly', 'girl'}","{'calling', 'sad', 'not', 'should', 'public', 'ill', 'to', 'happened', 'next', 'away', 'high', 'move', 'currently', 'mother', 'fuck', 'non', 'lot', 'daughter', 'anything', 'comes', 'lets', 'health', 'knows', 'gave', 'medical', 'amazing', 'meant', 'reasons', 'either', 'bc', 'giving', 'poor', 'multiple', 'wasnt', 'view', 'sent', 'lose', 'given', 'human', 'general', 'very', 'kind', 'eye', 'stop', 'truly', 'girl', 'fat'}",,"{'me', 'calling', 'sad', 'should', 'to', 'dogs', 'la', 'respect', 'term', 'away', 'high', 'is', 'move', 'often', 'currently', 'consider', 'sense', 'mother', 'fuck', '18', 'comment', 'his', 'non', 'fucked', 'lot', 'daughter', 'anything', 'comes', '40', 'lets', 'health', 'forget', 'gave', 'bought', 'suggest', 'meant', 'reasons', 'actually', 'poor', 'does', 'blood', 'multiple', 'mind', 'major', 'energy', 'wasnt', 'view', 'sent', 'leave', 'amount', 'video', 'lose', 'edit', 'human', 'general', 'very', 'happens', 'eye', 'stop', 'pain', 'cost', 'places', 'truly', 'eventually', 'check', 'girl', 'fat', 'able'}"
LinearRegression,"{'often', 'pain', 'or', 'pretty', 'non', 'poor'}","{'calling', 'pretty', 'to', 'la', 'respect', 'away', 'high', 'move', 'currently', 'sense', 'comment', 'non', 'fucked', 'lot', 'daughter', 'comes', 'lets', 'gave', 'bought', 'meant', 'man', 'poor', 'multiple', 'view', 'sent', 'human', 'general', 'very', 'eye', 'stop', 'based', 'along', 'truly', 'girl', 'hours'}","{'calling', 'sad', 'should', 'pretty', 'to', 'away', 'high', 'move', 'currently', 'mother', 'fuck', 'non', 'lot', 'daughter', 'anything', 'comes', 'lets', 'health', 'gave', 'meant', 'reasons', 'man', 'poor', 'multiple', 'wasnt', 'view', 'sent', 'lose', 'human', 'general', 'very', 'eye', 'stop', 'an', 'based', 'truly', 'girl', 'fat', 'hours'}","{'me', 'calling', 'sad', 'should', 'to', 'dogs', 'la', 'respect', 'term', 'away', 'high', 'is', 'move', 'often', 'currently', 'consider', 'sense', 'mother', 'fuck', '18', 'comment', 'his', 'non', 'fucked', 'lot', 'daughter', 'anything', 'comes', '40', 'lets', 'health', 'forget', 'gave', 'bought', 'suggest', 'meant', 'reasons', 'actually', 'poor', 'does', 'blood', 'multiple', 'mind', 'major', 'energy', 'wasnt', 'view', 'sent', 'leave', 'amount', 'video', 'lose', 'edit', 'human', 'general', 'very', 'happens', 'eye', 'stop', 'pain', 'cost', 'places', 'truly', 'eventually', 'check', 'girl', 'fat', 'able'}",
