,r2,mse,rmse,mae
DecisionTreeRegressor,-0.668904267169484,198.17099188027385,14.077321900143998,10.557236108899856
RandomForestRegressor,0.27855737953811077,85.66638751791115,9.255613837985633,7.094984875019901
SVR,0.36094486347290455,75.88343607422588,8.711109922060787,6.485092128868027
LinearRegression,0.4349921125996917,67.09083059401534,8.190899254295303,6.350458285366353
